Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Debt/Equity,ROE
Tencent Holdings Limited,419487.6940,15.66,3.77,5.32,30.96,5.40,13.59,1.02,24.11
Kuaishou Technology,28284.0770,-14.52,4.99,2.11,-82.10,1.74,-13.7,1.24,-34.36
China Tower Corporation,22422.0324,17.94,0.81,1.71,4.32,2.27,14.42,0.58,4.54
SenseTime Group Inc,11085.5331,-12.89,2.69,20.46,-9.44,17.42,-10.57,0.29,-21.00
Kingsoft Corp Ltd,5944.8456,-6.91,1.73,5.47,20.24,3.02,-4.14,0.32,-22.11
TravelSky Technology Limited,5822.7471,65.33,2.07,7.86,39.29,5.80,40.45,0.28,3.44
Kingdee International Software,5313.0628,-95.97,5.04,7.68,-72.76,7.23,-75.41,0.58,-6.11
Tongcheng-Elong Holdings,4736.2170,-228.02,2.08,5.06,-144.31,4.39,-119021.56,0.57,-1.02
China Literature Limited,4655.9963,30.38,1.77,3.62,26.82,2.86,17.76,0.29,5.83
"China Communications Services ",3785.1443,7.92,0.64,0.19,7.23,0.02,0.75,1.65,8.36
GDS Holdings Limited,3270.9089,-15.76,0.95,2.47,-3.16,5.14,53.34,2.09,-5.24
Chinasoft International Limite,2009.0604,18.60,1.16,0.71,33.27,0.55,11.57,0.4,6.25
XD Inc,1485.2473,-18.86,5.48,3.04,-24.92,2.53,-17.22,1.52,-30.12
Weimob Inc,1423.9203,-5.47,4.47,5.44,-7.45,4.99,-5.04,2.56,-85.66
Maoyan Entertainment,1265.1450,84.54,1.09,3.83,141.36,3.00,35.02,0.25,1.28
NetDragon Websoft Holdings Lim,1049.5150,8.85,1.12,0.94,9.56,0.69,5.15,0.67,11.58
Ming Yuan Cloud Group Holdings,988.2252,-6.02,1.36,3.82,-10.94,1.26,-1.97,0.21,-22.75
CMGE Technology Group Limited,887.1889,-30.42,1.10,2.30,-11.47,2.37,-45.96,0.26,-3.81
Mobvista Inc,807.9267,54.33,3.28,0.91,46.34,0.84,45.83,1.43,4.11
Tongdao Liepin Group,665.5492,105.45,1.40,1.77,39.55,0.68,15.39,0.47,2.68
"iDreamSky Technology Holdings ",639.6372,-1.80,2.51,1.64,-35.14,2.12,-2.37,1.41,-144.32
IMAX China Holding Inc,327.7765,30.72,1.42,4.51,308.33,3.66,17.37,0.4,4.62
Joy Spreader Interactive Techn,274.9696,-6.36,0.89,0.58,-3.84,0.42,-4.79,0.16,-14.05
Newborn Town Inc,256.4603,13.85,1.46,0.64,5.97,0.38,3.66,0.39,23.21
BC Technology Group Limited,156.3938,-2.27,1.86,10.60,7.25,2.17,-0.48,2.81,-83.42
