Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Тек. дох-ть,Debt/Equity,ROE
Industrial and Commercial Bank,203061.0766,3.89,0.39,1.54,1.10,,,7.37,10.67,10.00
China Construction Bank Corp.,173034.5189,3.69,0.40,1.45,1.39,,,8.09,11.46,10.93
Ping An Insurance (Group) Comp,139916.4388,9.94,0.78,0.92,2.16,1.45,0,6.14,8.15,9.87
"China Merchants Bank Co., Ltd",129866.6692,6.37,0.90,2.64,1.75,,,3.68,9.62,14.34
Bank of China Limited,122699.1018,3.71,0.32,1.33,1.09,,,9.08,10.61,9.12
"China Life Insurance Company ",55840.5992,12.23,0.88,0.49,1.12,0.39,0,5.96,10.8,7.53
Bank of Communications Co.,51587.1162,3.81,0.34,1.29,1.00,,,7.68,11.91,8.83
CITIC Securities Company Limit,32113.4585,10.29,0.84,3.43,-164.65,,,3.48,4.47,8.50
China Pacific Insurance,31023.0705,7.91,0.84,0.46,1.52,0.39,0,6.51,7.5,10.88
"PICC Property and Casualty ",28746.5433,7.56,0.95,0.44,5.44,0.44,0,6.12,2.53,12.53
"China CITIC Bank Corporation ",27131.9662,2.93,0.26,0.90,1.32,,,9.36,11.45,9.17
"China Everbright Bank Company ",19731.3323,3.00,0.25,0.90,0.98,,,8.2,11.44,8.47
"China Minsheng Banking Corp., ",18638.8909,3.58,0.20,0.90,0.55,,,8.66,11.1,5.79
The People's Insurance Company,18037.7282,5.18,0.42,0.21,1.77,0.25,0,7.22,4.01,11.44
"Huatai Securities Co., Ltd",12261.8097,7.00,0.49,2.67,5.27,,,4.81,3.99,7.23
"Guotai Junan Securities Co., L",11829.2686,6.77,0.49,2.27,8.13,,,0,4.38,7.36
"GF Securities Co., Ltd",11442.9031,8.96,0.62,3.06,2.56,,,5.66,4.2,7.64
China International Capital Co,10324.4395,9.55,0.73,1.97,1.29,,,2.13,5.52,7.63
New China Life Insurance Compa,9681.9928,4.95,0.55,0.30,0.73,0.26,0,8.43,9.55,11.09
"Haitong Securities Co., Ltd",9391.5173,8.58,0.36,2.20,15.80,,,6.61,3.27,3.52
China Galaxy Securities Co. Lt,6059.9372,5.49,0.41,2.29,1.54,,,9.06,5.09,7.56
ZhongAn Online P & C Insurance,4721.0171,-24.46,1.95,1.47,-29.81,1.63,0,0,2.2,-9.59
"China Cinda Asset Management ",4718.5179,5.25,0.16,1.12,0.63,,,8.35,6.77,3.48
China Huarong Asset Management,4347.0020,-0.91,0.63,-1.03,-0.90,,,0,18.75,-69.00
China Reinsurance (Group) Corp,3302.8301,12.40,0.25,0.14,2.05,0.16,0,0,4.5,1.61
China Bohai Bank Co. Ltd,3056.3246,3.52,0.20,0.83,0.83,,,7.19,14.09,5.55
Sheng Ye Capital Limited,803.1668,25.72,1.37,7.75,-6.39,,,1.27,1.76,5.91
China Renaissance Holdings Lim,526.6988,13.57,0.46,2.65,1771.23,,,4.43,0.87,2.43
Differ Group Holding Company L,125.8730,-4.91,0.35,0.88,-2.77,,,0.27,2.49,-7.14
