Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Тек. дох-ть,Debt/Equity,ROE,Price
"WuXi AppTec Co., Ltd",25971.0567,19.78,3.58,4.65,42.06,4.51,15.66,0.67,0.37,18.31,68.55
WuXi Biologics (Cayman) Inc,23168.8839,36.76,4.49,10.64,-497.40,10.25,28.88,0,0.37,12.56,42.95
JD Health International Inc,19446.4448,-307.64,3.07,3.42,39.57,2.22,-432.05,0,0.25,-1.00,47.9
CSPC Pharmaceutical Group,10987.3071,12.65,2.44,2.49,15.71,2.05,8.33,2.55,0.32,19.70,7.23
Sinopharm Group Co. Ltd,10538.0593,8.67,0.67,0.13,3.99,0.15,3.78,4.5,2.31,13.03,26.45
Hansoh Pharmaceutical Group,9787.0315,26.57,3.03,7.32,28.03,5.47,17.06,1.06,0.32,11.41,12.92
Alibaba Health Information,8233.5558,467.32,3.87,2.42,192.88,1.94,2354.84,0,0.36,0.83,4.77
Innovent Biologics Inc,7395.1482,-23.80,4.83,11.38,-15.72,10.25,-22.58,0,0.64,-20.31,37.75
"Shanghai Pharmaceuticals ",7274.8666,8.82,0.63,0.22,24.70,0.23,4.94,4.13,1.58,8.95,15.4
"Shanghai Fosun Pharmaceutical ",7215.4154,11.67,0.90,1.12,-26.90,1.35,9.79,2.09,0.95,8.04,21.15
"Shandong Weigao Group Medical ",6939.9322,17.87,2.08,3.57,44.32,3.35,13.02,1.82,0.42,12.34,12.02
"Hangzhou Tigermed Consulting ",6744.1663,23.49,1.99,6.84,80.58,6.06,16.07,0.89,0.21,9.32,60.55
Genscript Biotech Corporation,4982.7104,-22.10,3.68,8.01,-15.48,6.14,-9.19,0,0.87,-31.41,18.44
"Pharmaron Beijing Co., Ltd",4615.7171,21.61,2.82,2.92,-39.40,3.17,17.66,0.87,0.87,12.95,30.35
Akeso Inc,3983.7254,-23.91,10.97,33.36,-13.68,32.85,-19.96,0,1.16,-55.82,37.1
Hygeia Healthcare Holdings Co.,3926.4907,57.76,5.57,8.62,350.95,8.74,40.84,0,0.47,9.75,48.7
"China Medical System Holdings ",3737.7610,8.04,1.78,2.87,8.66,2.42,5.81,5.64,0.2,22.23,11.94
MicroPort Scientific Corporati,3341.3151,-7.70,1.88,4.00,-5.60,4.06,-6.72,0,1.23,-32.81,14.32
Ping An Healthcare and Technol,2551.0931,-29.45,1.33,2.90,-21.17,1.26,-13.06,0,0.27,-4.54,17.86
3SBio Inc,2512.8097,9.20,1.14,2.57,14.61,2.19,6.33,2.99,0.43,12.39,8.07
Remegen Co Ltd,2414.6252,-16.96,3.40,22.06,-8.38,19.36,-14.99,0,0.21,-20.06,34.75
Keymed Biosciences Inc,1825.0047,-41.55,3.83,127.93,-18.78,97.09,-32.89,0,0.18,-9.09,51.1
Luye Pharma Group Ltd,1656.8695,19.22,1.05,1.94,23.71,2.53,13.27,0,1.2,5.28,3.45
New Horizon Health Ltd,1603.4666,-141.94,5.30,14.70,-24.12,13.19,-139.51,0,0.21,-3.79,27.45
Gushengtang Holdings Ltd,1452.6026,55.59,5.92,6.27,41.84,5.68,42.69,0,0.52,10.66,47.25
Jinxin Fertility Group Limited,1452.0413,84.08,1.17,4.31,-24.39,5.29,55.31,1.06,0.74,1.35,4.18
LifeTech Scientific Corporatio,1442.3217,31.10,3.46,9.22,191.44,8.46,24.51,0,0.26,10.91,2.44
Kangji Medical Holdings Limite,1388.8062,20.35,2.62,12.39,47.71,8.79,12.23,2.77,0.07,12.40,8.94
Genertec Universal Medical Gro,1163.9949,4.16,0.41,0.69,5.63,4.25,18.48,7.61,2.9,10.59,4.82
Tong Ren Tang Technologies Co.,1157.7007,13.93,0.90,1.36,14.51,0.90,4.27,2.85,0.38,11.11,7.08
Alphamab Oncology,1072.7733,-23.10,4.83,45.10,-17.50,38.95,-20.86,0,0.36,-20.91,8.71
China Resources Medical Holdin,1054.5344,53.22,1.06,1.32,19.79,1.09,21.19,2.84,0.59,2.28,6.37
AK Medical Holdings Limited,1054.0656,36.10,3.30,7.03,61.00,6.04,26.19,0.54,0.24,9.13,7.4
CanSino Biologics Inc,963.5534,-7.43,0.93,6.55,-2.28,3.17,-2.86,1.3,0.58,-13.32,30.5
"China Shineway Pharmaceutical ",929.1304,9.02,1.02,1.65,6.65,0.37,1.6,6.21,0.29,11.32,8.8
Sihuan Pharmaceutical Holdings,905.2817,-3.32,1.13,2.91,-11.60,1.28,-1.46,1.55,1.15,-40.48,0.76
Shanghai Haohai Biological Tec,841.4507,32.70,1.00,2.81,-68.75,1.62,14.04,0,0.17,3.22,38.35
"Beijing Chunlizhengda Medical ",771.2387,17.58,1.99,4.50,335.92,3.07,11.09,1.37,0.25,11.31,15.72
"YiChang HEC ChangJiang ",750.4691,68.72,0.87,1.41,6.22,2.10,24.52,0,0.96,0.81,6.68
Ascentage Pharma Group Interna,738.4653,-5.87,12.67,24.70,-5.81,26.13,-6.57,0,5.93,-216.05,20.1
Peijia Medical Limited,634.2076,-10.91,1.69,17.73,-7.69,11.30,-7.16,0,0.26,-15.46,7.39
"Shanghai Kindly Medical ",583.4004,31.07,2.63,6.98,-34.00,6.14,24.75,0,0.18,8.61,27.2
"China Conch Environment ",578.3944,12.34,1.20,2.35,-4.29,4.37,15.04,0,1.52,10.64,2.48
Consun Pharmaceutical Group Li,495.5601,5.09,1.01,1.49,3.88,0.38,1.17,0,0.42,19.88,4.81
CStone Pharmaceuticals,470.1733,-3.65,7.34,6.85,-4.62,5.16,-2.78,0,2.65,-200.90,2.87
Venus Medtech (Hangzhou) Inc,454.3709,-3.01,0.88,7.84,-3.51,5.18,-1.89,0,0.45,-30.90,8.07
Brii Biosciences Ltd,369.5094,-5.35,0.82,50.20,-4.08,-7.86,-0.83,0,0.07,-15.51,3.98
Viva Biotech Holdings,340.9240,-4.52,0.66,1.00,17.52,1.89,-16.42,0,1.2,-13.99,1.38
Ascletis Pharma Inc,313.6739,-6.99,0.87,40.68,-14.03,-5.21,-0.9,0,0.05,-12.40,2.26
Hua Medicine (Shanghai) Ltd,277.4326,-9.56,6.96,110.57,-7.55,84.62,-7.45,0,3.01,-72.79,2.24
Essex Bio-Technology Ltd,261.8467,9.10,1.18,1.56,20.54,1.51,7.34,2.4,0.57,13.02,3.59
Kintor Pharmaceutical Limited,236.5276,-1.74,1.11,0.00,-1.68,0.00,-1.12,0,0.37,-63.83,4.14
JW (Cayman) Therapeutics Co. L,156.9075,-1.30,0.47,7.55,-1.73,-0.33,-0.06,0,0.19,-35.94,2.99
