Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Тек. дох-ть,Debt/Equity,ROE,Price
PetroChina Co Ltd Class H,122937.7695,5.49,0.54,0.27,4.40,0.27,3.67,0,0.71,10.69,5.42
"China Petroleum & Chemical ",77632.5281,8.41,0.56,0.16,-114.98,0.19,5.75,14.88,1.1,7.49,5.15
"China Shenhua Energy Company ",67742.7998,6.73,0.96,1.35,6.07,0.94,3.38,13.51,0.33,16.65,27.6
"Zijin Mining Group Company ",45703.0544,16.22,2.41,1.12,62.67,1.45,12.28,2.32,1.41,18.56,11.26
Yanzhou Coal Mining Company,16557.4813,3.76,0.84,0.56,2.86,0.60,2.09,8.09,1.24,28.39,26.8
"Anhui Conch Cement Company ",16447.1748,8.51,0.57,0.82,-8.26,0.46,3.63,7.33,0.23,6.92,22.4
"Ganfeng Lithium Co., Ltd",13973.4282,5.00,1.88,2.11,57.05,2.28,4.85,0.46,0.58,36.94,54.4
"China Molybdenum Co., Ltd",13104.4640,19.52,1.48,0.52,9.24,0.54,9.02,1.86,1.67,9.22,4.29
China Coal Energy Company Limi,11322.6550,4.17,0.45,0.36,2.24,0.18,1.03,5.12,1,14.64,6.94
Tianqi Lithium Corporation,10616.3856,3.11,1.36,1.86,4.01,1.76,1.73,0,0.33,56.45,57.75
Aluminum Corp of China Ltd,10455.8479,17.52,0.84,0.25,3.19,0.40,6.91,1.2,1.42,12.36,3.87
"Shandong Gold Mining Co., Ltd",10046.6295,50.76,1.86,1.38,-49.80,1.72,25.99,0.43,1.53,4.21,15.56
China Hongqiao Group Limited,9287.6138,7.50,0.68,0.50,-24.54,0.74,6.24,12.67,0.93,10.19,6.51
Jiangxi Copper Company Limited,6311.4407,6.92,0.51,0.09,15.33,0.12,5.8,5.28,1.22,7.39,12.74
China National Building Materi,5805.5162,4.72,0.21,0.18,-8.64,0.79,7.48,8.95,1.51,7.75,5.05
"Zhaojin Mining Industry ",5635.7287,98.51,1.98,5.02,-34.64,6.75,42.83,0,1.29,2.79,11.08
China Oilfield Services Limite,5388.5346,15.13,0.92,1.00,8.65,1.30,12.18,0.26,0.9,6.53,8.6
"Nine Dragons Paper (Holdings) ",3295.3671,-26.82,0.51,0.37,-1.51,1.05,872.8,1.8,1.49,-1.87,5.02
Angang Steel Company Limited,3115.4466,-14.91,0.37,0.17,10.05,0.15,-9.41,0,0.7,-2.41,2.33
Dongyue Group Limited,2315.2775,4.22,0.88,0.81,14.04,0.55,2.13,3.12,0.33,22.58,7.64
China Nonferrous Mining Corpor,1953.9696,7.47,0.84,0.48,2.69,0.42,2.96,7.81,0.72,16.38,3.74
Sinopec Shanghai Petrochemical,1830.7148,-4.52,0.49,0.18,-1.25,0.14,-3.03,8.56,0.56,-10.78,1.3
"China Suntien Green Energy ",1755.8282,5.38,0.49,0.66,70.20,2.40,9.81,4.67,2.07,11.19,3.08
"Maanshan Iron & Steel Company ",1684.4574,-4.51,0.35,0.12,-7.60,0.20,-8.61,0,1.87,-8.16,1.56
Fufeng Group Limited,1567.6696,2.85,0.71,0.40,4.28,0.37,1.97,10.7,0.7,24.92,4.59
China BlueChemical Ltd,1292.6991,5.53,0.51,0.64,11.30,-0.10,-0.61,7.04,0.32,10.12,2.04
China Zhongwang Holdings Limit,1166.9101,4.17,0.21,0.38,-2.89,4.05,21.34,0,2.46,4.98,1.68
Tiangong International Company,847.6129,11.83,0.83,1.18,-25.51,1.24,9.04,2.35,0.87,7.34,2.18
Asia Cement (China) Holdings C,714.9642,11.96,0.29,0.52,4.01,-0.17,-2.17,10.89,0.22,2.44,3.58
West China Cement Limited,693.2395,4.01,0.36,0.57,-5.89,1.53,6.73,9.25,1.26,10.04,0.99
China XLX Fertiliser Ltd,630.8407,3.34,0.46,0.19,7.23,0.63,5.13,3.89,1.91,18.90,4.4
CPMC Holdings Limited,630.1092,9.10,0.77,0.43,-72.00,0.71,10.61,3.68,1.46,8.46,4.26
"China Sunshine Paper Holdings ",344.9754,11.78,0.55,0.25,-21.68,0.66,12,2.96,1.73,5.30,2.67
Perennial Energy Holdings,320.1795,3.02,0.91,1.26,-4.09,1.59,3.2,0,0.66,30.21,1.74
Youyuan International Holdings,41.1935,0.43,0.06,0.07,2.91,0.48,1.6,0,0.66,15.27,0.26
China Metal Resources Utilizat,27.4185,-0.33,0.11,0.03,0.31,0.28,-6.52,0,3.19,-34.28,0.048
