Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Тек. дох-ть,Debt/Equity,ROE,Price
Xiaomi Corporation,34704.8430,98.18,1.69,0.87,-23.84,0.71,39.3,0,0.9,1.74,10.96
"Haier Smart Home Co., Ltd",27410.9917,12.41,1.92,0.76,15.64,0.64,8.15,1.98,1.43,15.47,23.35
"Semiconductor Manufacturing ",21089.4788,13.14,0.71,3.05,-10.49,2.48,8.31,0,0.52,6.40,20.08
ZTE Corporation,14007.4745,11.30,1.55,0.78,26.90,0.65,6.89,1.81,1.97,13.54,23.1
"Sunny Optical Technology ",11549.1869,33.57,3.64,2.44,18.96,2.08,22.92,1.01,0.94,11.15,82.3
Xinyi Solar Holdings Limited,8928.4643,18.27,1.98,3.40,-92.54,3.49,13.32,1.52,0.44,12.33,7.84
BYD Electronic (International),6918.5538,34.68,1.89,0.51,27.73,0.47,28.37,0.59,0.83,5.45,24.0
"Flat Glass Group Co., Ltd",5891.7109,19.43,2.94,2.67,-5.22,3.31,20.51,1.54,1.31,15.13,21.45
China Railway Signal & Communi,4552.3138,8.84,0.66,0.76,20.32,0.41,3.41,0,1.47,8.58,3.36
Hua Hong Semiconductor Limited,4514.3011,10.07,1.10,1.83,-18.47,1.79,8.26,0,0.71,9.83,27.0
AAC Technologies Holdings Inc,2637.3685,23.05,0.78,0.93,-28.13,1.16,17.92,0,0.8,2.94,17.2
Legend Holdings Corporation,2423.6956,14.54,0.17,0.04,0.51,0.07,1.99,0,5.67,10.17,8.04
Shanghai Fudan Microelectronic,2209.8154,14.36,3.00,4.37,-33.53,4.03,12.66,0,0.19,21.68,21.15
Meitu Inc,1074.2716,79.87,2.03,3.61,41.08,2.97,33.61,0,0.35,0.51,1.89
"GCL-Poly Energy Holdings Limit", 6028,2.63,0.93,1.17,-1.0,1.35,2.62,0,0.88,33.98,1.74
