Название,Капитализация,P/E,P/BV,P/S,P/FCF,EV/S,EV/EBIT,Тек. дох-ть,Debt/Equity,ROE,Price
ГМК Норникель,27655.7646,5.83,3.89,1.98,66.02,2.55,5.25,0,2.01,71.26,15332.0
Полюс,17629.7504,13.35,4.01,5.08,37.84,5.58,11.2,0,0.87,29.99,10980.0
НЛМК,12291.1883,2.81,2.18,0.87,4.30,1.06,2.66,0,0.89,77.67,173.8
Северсталь,11318.4519,2.78,2.69,0.97,3.20,1.09,2.47,0,1.06,96.82,1145.0
РУСАЛ,7261.6607,4.05,0.59,0.52,-4.40,0.97,4.71,4.11,1,14.57, 40.51
ВСМПО-АВИСМА,6726.2611,41.79,2.72,6.86,18.71,7.38,36.9,0,0.66,6.52
ММК,6002.1535,2.22,1.08,0.58,4.39,0.59,1.76,0,0.54,48.84,45.552
АЛРОСА,5984.4066,5.58,2.27,1.55,4.79,1.74,4.62,0,0.9,40.86,68.86
ЭН+ ГРУП,3526.4824,3.26,0.28,0.21,-3.10,0.82,3.84,0,1.41,14.50,467.8
ТМК,2104.4165,6.43,3.03,0.32,2.39,0.75,6.65,18.58,9.83,47.57,172.62
Мечел,1188.8374,1.25,-0.68,0.25,1.50,0.91,3.28,0,-2.61,-56.10,177.81
Селигдар,610.3758,10.79,1.35,1.49,-15.00,2.63,12.72,0,2.55,10.80,50.22
Ашинский метзавод,412.9307,3.10,1.29,0.81,0.00,0.81,2.65,0,0.33,41.55,70.2
Русолово,267.4213,-81.65,3.53,3.78,-223.77,4.64,-73.41,0,2.21,-10.40,0.755
ЧМК,225.1737,2.14,0.28,0.11,-1.59,1.12,17.39,0,3.11,13.15,6035
Лензолото,215.2369,21.06,3.54,0.00,331.64,0.00,11.24,20.61,0.07,16.82,15060
Уральская кузница,148.6628,2.44,0.32,0.59,0.00,0.76,4.92,0,0.24,13.16, 23000
КоршГОК,136.9494,10.25,0.22,0.93,0.00,0.93,-6.45,0,0.08,2.15,46400
Бурятзолото,99.1748,7.76,0.44,1.59,-14.78,1.42,9.58,0,0.1,5.62,1196
"Косогорский МЗ ",77.1215,8.99,1.14,0.48,0.00,0.63,8.06,0,0.69,12.68,230
Комбинат Южуралникель,69.8492,8.04,0.77,118.17,-19.18,118.16,26.4,0,0.11,9.64,9870
Ижсталь,58.8209,1.08,2.61,0.15,-2.94,0.33,2.05,0,6.42,241.07,4900
Электроцинк,6.9432,-0.64,-0.47,0.47,0.00,2.36,-2.73,0,-2.88,-72.92,419
